country.x,dataset_key.x,dataset_party_id.x,name_short.x,name_english.x,year_first.x,year_last.x,share.x,share_year.x,partyfacts_id,country.y,dataset_key.y,dataset_party_id.y,name_short.y,name_english.y,year_first.y,year_last.y,share.y,share_year.y
SVN,vparty,96,SNS,Slovenian National Party,1992,2008,10,1992,96,SVN,cses,7050008,SNS,Slovenian National Party,1996,2011,5.8,2004
SVN,vparty,98,DL,Civic List,2011,2011,8.4,2011,98,SVN,cses,7050009,DIGV,Gregor Virant's Civic List,2011,2011,5.1,2011
NOR,vparty,101,Fr,Progress Party [Anders Lange’s Party],1973,2017,22.9,2009,101,NOR,cses,5780003,FrP,Progress Party,1997,2013,19.3,2009
EST,vparty,110,ERa,People's Union of Estonia,1999,2015,13,2003,110,EST,cses,2330016,ER a,Estonian People's Union,2011,2011,2.4,2011
URY,vparty,118,PN,National Party,1916,2019,49.7,1958,118,URY,cses,8580002,PN,National Party,2009,2009,26.3,2009
ROU,vparty,120,PSD,Social Democratic Party,1992,2016,45.5,2016,120,ROU,cses,6420027,,Social Democratic Union,1996,1996,9.3,1996
ROU,vparty,120,PSD,Social Democratic Party,1992,2016,45.5,2016,120,ROU,cses,6420001,PSD,Romanian Party of Social Democracy,1996,1996,26.2,1996
ESP,vparty,139,CiU,Convergence and Unity,1986,1993,5.1,1989,139,ESP,cses,7240003,CiU,Convergence and Union,1996,2008,5.7,2000
CAN,vparty,152,NDP,New Democratic Party,1935,2019,30.6,2011,152,CAN,cses,1240003,NDP,New Democratic Party,1997,2015,,
CHL,vparty,162,PC,Communist Party of Chile,1941,2017,16.2,1973,162,CHL,cses,1520006,PCCh,Communist Party of Chile,2005,2009,4,2005
CZE,vparty,177,CSSD,Czech Social Democratic Party,1992,2017,32.3,1998,177,CZE,cses,2030001,CSSD,Czech Social Democratic Party,1996,2013,31,2002
ALB,vparty,190,PDS,Democratic Party of Albania,1991,2017,57.3,1992,190,ALB,cses,80002,PD,Democratic Party,2005,2005,31.8,2005
ROU,vparty,192,CDR,Romanian Democratic Convention,1992,2000,30.2,1996,192,ROU,cses,6420022,CDR,Romanian Democratic Convention,1996,1996,43.5,1996
LTU,vparty,193,TS-LKD,Homeland Union / Homeland Union – Lithuanian Christian Democrats,1992,2016,31.3,1996,193,LTU,cses,4400001,TS - LK,Homeland Union-Conservatives,1997,1997,,
SWE,vparty,199,B/C,Farmers' League / Centre Party,1917,2018,25.1,1973,199,SWE,cses,7520006,C,Centre Party,1998,2014,7.6,2014
CHL,vparty,209,PH,Humanist Party,2005,2017,4.2,2017,209,CHL,cses,1520014,PH,Humanist Party,2005,2009,1.3,2005
DEU,vparty,211,CDU/CSU,Christian Democratic Union / Christian Social Union,1949,2017,,1949,211,DEU,cses,2760001,Union,Christian Democratic Union / Christian Social Union,1998,2013,39.4,2013
DNK,vparty,212,LA,[New] Liberal Alliance,2015,2015,7.4,2015,212,DNK,cses,2080009,,New Alliance,2007,2007,3.3,2007
HRV,vparty,214,HSLS,Croatian Social Liberal Party,1992,2016,17.7,1992,214,HRV,cses,1910008,HSLS,Croatian Social Liberal Party,2007,2007,,
ROU,vparty,215,ADA,Justice and Truth Alliance,2004,2004,31.3,2004,215,ROU,cses,6420026,DA,Justice and Truth Alliance,2004,2004,48.3,2004
MEX,vparty,216,PRD,Party of the Democratic Revolution,1991,2018,25.7,1997,216,MEX,cses,4840003,PRD,Democratic Revolution Party,1997,2015,,
CZE,vparty,223,TOP09,Tradition Responsibility Prosperity 09,2010,2017,16.7,2010,223,CZE,cses,2030010,TOP 09,TOP 09,2010,2013,18.1,2010
ISL,vparty,224,B,Citizens' Movement,2009,2009,7.2,2009,224,ISL,cses,3520009,B,Civic Movement,2009,2009,7.1,2009
BRA,vparty,225,PSDB,Brazilian Social Democracy Party,1990,2018,17.5,1998,225,BRA,cses,760002,PSDB,Brazilian Social Democratic Party,2002,2014,10.6,2014
CAN,vparty,232,PCP,Progressive Conservative Party of Canada,1945,2000,53.7,1958,232,CAN,cses,1240006,PC,Progressive Conservative,1997,1997,,
ISR,vparty,235,YB,Israel is Our Home,2006,2019,11.7,2009,235,ISR,cses,3760021,YB,Israel is Our Home,2006,2006,11.5,2006
ESP,vparty,247,PCE/IU,Communist Party / United Left,1977,2019,10.8,1979,247,ESP,cses,7240004,IU,United Left,1996,2008,11.9,1996
HRV,vparty,253,HSP,Croatian Party of Rights,1992,2003,7.1,1992,253,HRV,cses,1910010,HSP,Croatian Party of Rights,2007,2007,3.8,2007
SVK,vparty,258,MH,Most-Hid,2010,2016,8.1,2010,258,SVK,cses,7030008,MH,Bridge,2010,2016,9.6,2010
BRA,vparty,267,PPS,Socialist People's Party,2006,2006,4.4,2006,267,BRA,cses,760018,PPS,Popular Socialist Party,2002,2014,3.8,2010
ITA,vparty,279,DL-M,Democracy is Freedom -- The Daisy,2001,2001,14.5,2001,279,ITA,cses,3800021,DL,Daisy - Democracy is Freedom,2006,2006,,
JPN,vparty,282,NFP,New Frontier Party,1996,1996,28,1996,282,JPN,cses,3920012,NFP,New Frontier Party,1996,1996,26.2,1996
PRT,vparty,284,CDU,Unified Democratic Coalition,1987,2019,12.1,1987,284,PRT,cses,6200004,CDU,Unitarian Democratic Coalition,2002,2015,11.8,2015
PER,vparty,290,SN,National Solidarity Party,2000,2011,4,2000,290,PER,cses,6040034,PSN,National Solidarity Party,2000,2000,,
NLD,vparty,298,PVV,Party for Freedom,2006,2017,15.4,2010,298,NLD,cses,5280009,PVV,Party for Freedom,2006,2010,11.9,2010
GRC,vparty,301,SYRIZA,Coalition of the Radical Left,2007,2019,35.5,2015,301,GRC,cses,3000003,SYRIZA,Coalition of the Radical Left,2009,2015,46.5,2015
TUR,vparty,306,AKP,Justice and Development Party,2002,2018,49.8,2011,306,TUR,cses,7920001,AKP,Justice and Development Party,2011,2015,62.4,2011
CHE,vparty,308,SVP,Swiss People's Party,1919,2019,29.4,2015,308,CHE,cses,7560001,SVP / UDC,Swiss People's Party,1999,2011,28.5,2007
PRT,vparty,310,PCP,Portuguese Communist Party,1975,1983,18.2,1983,310,PRT,cses,6200008,PCP,Portugese Communist Party,2005,2005,,
SVK,vparty,311,Smer,Direction -- Social Democracy,2002,2016,44.4,2012,311,SVK,cses,7030001,Smer,Direction - Social Democracy,2010,2016,44,2010
DNK,vparty,329,SF,Socialist Peoples Party,1960,2019,14.6,1987,329,DNK,cses,2080004,SF,Socialist People's Party,1998,2007,17.4,2007
SVK,vparty,349,SMK-MKP,Party of the Hungarian Coalition / Party of the Hungarian Community,1994,2006,11.7,2006,349,SVK,cses,7030015,SMK,Party Of The Hungarian Coalition,2010,2010,2.8,2010
SVK,vparty,349,SMK-MKP,Party of the Hungarian Coalition / Party of the Hungarian Community,1994,2006,11.7,2006,349,SVK,cses,7030034,SMK - MKP,Hungarian Coalition,2016,2016,3.1,2016
BRA,vparty,356,PT,Workers' Party,1986,2018,18.2,2002,356,BRA,cses,760001,PT,Workers Party,2002,2014,13.8,2014
CHE,vparty,360,FDP,Radical Democratic Party,1902,2019,56.1,1914,360,CHE,cses,7560024,FDP / PLR,Radical Democratic Party,1999,2007,21.6,1999
ISL,vparty,363,Sj,Independence Party,1923,2017,53.6,1923,363,ISL,cses,3520001,Sj,Independence Party,1999,2013,42.7,1999
BGR,vparty,374,NDSV,National Movement (Simeon II) for Stability and Progress,2001,2005,42.7,2001,374,BGR,cses,1000019,NDS,National Movement for Stability and Progress,2001,2014,55.4,2001
DNK,vparty,379,SD,Social Democrats,1901,2019,46.1,1935,379,DNK,cses,2080001,Sd,Social Democrats,1998,2007,31.4,1998
DEU,vparty,383,SPD,Social Democratic Party of Germany,1903,2017,45.8,1972,383,DEU,cses,2760004,SPD,Social Democratic Party,1998,2013,43.9,1998
CHL,vparty,390,PDC,Christian Democratic Party,1961,2017,55.8,1965,390,CHL,cses,1520001,PDC,Christian Democratic Party,2005,2009,20.5,2009
LVA,vparty,393,PLL,For a Good Latvia,2010,2010,7.8,2010,393,LVA,cses,4280004,PLL,For a Good Latvia,2010,2010,6.8,2010
SWE,vparty,409,SD,Sweden Democrats,2010,2018,17.5,2018,409,SWE,cses,7520008,SD,Sweden Democrats,2006,2014,9.1,2014
AUS,vparty,424,ALP,Australian Labor Party,1901,2019,50.9,1914,424,AUS,cses,360003,ALP,Australian Labor Party,1996,2013,,
USA,vparty,432,Dem,Democratic Party,1900,2018,57.7,1964,432,USA,cses,8400002,DEM,Democratic Party,1996,2012,,
FRA,vparty,433,FN,National Front,1986,2017,14.9,1997,433,FRA,cses,2500007,FN,National Front,2002,2012,,
CHL,vparty,437,PRSD,Social Democrat Radical Party,1989,2017,4,2001,437,CHL,cses,1520007,PRSD,Radical Social-Democratic Party,2005,2009,1.4,2005
CHE,vparty,444,LPS,Liberal Party of Switzerland,1902,1914,8.6,1902,444,CHE,cses,7560014,LPS / PLS,Liberal Party,1999,2007,2,1999
MEX,vparty,446,PVEM,Ecologist Green Party of Mexico,2003,2018,7.7,2003,446,MEX,cses,4840005,PVEM,Ecological Green Party of Mexico,1997,2015,,
NOR,vparty,448,DNA,Norwegian Labour Party,1903,2017,48.3,1957,448,NOR,cses,5780001,Ap,Labor Party,1997,2013,35.6,1997
ISR,vparty,455,SHAS,Sephardi Torah Guardians,1996,2019,13,1999,455,ISR,cses,3760003,Shas,Sfarad's Keepers of the Torah,1996,2013,8.3,2013
SWE,vparty,456,MP,Greens,1988,2018,7.3,2010,456,SWE,cses,7520005,MP,Green Party,1998,2014,9,2014
ISL,vparty,457,Graen,Left-Green Movement,1999,2017,21.7,2009,457,ISL,cses,3520005,VG,Left-Green Movement,1999,2013,21.9,2009
BRA,vparty,458,PTB,Brazilian Labour Party,1945,2014,16.5,1950,458,BRA,cses,760010,PTB,Brazilian Labor Party,2002,2014,4.3,2010
AUT,vparty,463,FPO,Freedom Party of Austria,1949,2019,26.9,1999,463,AUT,cses,400003,FPO,Freedom Party of Austria,2008,2013,13.9,2008
CZE,vparty,466,ODS,Civic Democratic Party,1992,2017,35.4,2006,466,CZE,cses,2030002,ODS,Civic Democratic Party,1996,2013,35.4,1996
SVN,vparty,467,DeSUS,Democratic Party of Retired People of Slovenia,2000,2014,10.2,2014,467,SVN,cses,7050003,DeSUS,Democratic Party of Pensioners,2004,2011,4.8,2011
SVN,vparty,472,SDS,Slovenian Democratic Party,1990,2018,29.3,2008,472,SVN,cses,7050001,SDS,Social Democratic Party,1996,2011,32.4,2004
SVN,vparty,472,SDS,Slovenian Democratic Party,1990,2018,29.3,2008,472,SVN,cses,7050013,DSS,Democratic Party,1996,1996,5.4,1996
SVN,vparty,474,Zares,For Real,2008,2008,9.4,2008,474,SVN,cses,7050020,ZARES,For Real-New Politics,2008,2011,6.6,2008
FIN,vparty,479,VIHR,Green League,1991,2019,11.5,2019,479,FIN,cses,2460005,VIHR,Green League,2003,2015,9.9,2007
ISR,vparty,484,Kadima,Forward,2006,2009,22.5,2009,484,ISR,cses,3760016,Kadima,Forward,2006,2013,28.9,2006
AUS,vparty,486,LPA,Liberal Party of Australia,1946,2019,41.8,1975,486,AUS,cses,360001,LP,Liberal Party,1996,2013,,
SWE,vparty,487,S,Social Democrats,1902,2018,53.8,1940,487,SWE,cses,7520001,SAP,Sweden's Social Democratic Worker's Party,1998,2014,39.2,1998
FIN,vparty,495,KOK,National Coalition Party,1919,2019,23.1,1987,495,FIN,cses,2460003,KOK,National Coalition Party,2003,2015,18.8,2007
PER,vparty,499,AF,Alliance for the Future,2006,2006,13.1,2006,499,PER,cses,6040053,AF,Alliance for the Future,2006,2006,12.2,2006
BEL,vparty,500,PS,Socialist Party [Francophone],1978,2019,15.7,1987,500,BEL,cses,560002,Francophone-SP,Socialist Party (Francophone),1999,2003,14,2003
NOR,vparty,503,H,Conservative Party,1900,2017,40.2,1903,503,NOR,cses,5780002,H,Conservative Party,1997,2013,28.6,2013
FRA,vparty,509,RPR,Rally for the Republic,1978,1997,22.5,1978,509,FRA,cses,2500008,RPR,Rally For The Republic,2002,2002,,
HRV,vparty,513,IDS,Istrian Democratic Assembly,1995,2011,3.1,1995,513,HRV,cses,1910011,IDS,Istrian Democratic Assembly,2007,2007,1.8,2007
PER,vparty,514,AP,Popular Action,1963,2016,38.9,1980,514,PER,cses,6040006,AP,Popular Action,2001,2016,7.4,2016
BEL,vparty,528,AGL-Gr,Agalev -- Green,1999,2019,7,1999,528,BEL,cses,560018,AGALEV,Live Differently - Flemish-speaking Ecologists,1999,2003,7.6,1999
PER,vparty,529,APRA/PAP,American Popular Revolutionary Alliance / Peruvian Aprista Party,1931,2016,50.1,1985,529,PER,cses,6040026,PAP,Peruvian Aprista Party,2001,2011,28.1,2006
EST,vparty,533,EK,Estonian Centre Party,1995,2019,26.1,2007,533,EST,cses,2330002,EK,Estonian Centre Party,2011,2011,24.2,2011
DNK,vparty,536,KF,Conservative People's Party,1901,2019,24,1901,536,DNK,cses,2080007,KF,Conservative People's Party,1998,2007,10.6,1998
LTU,vparty,546,LDDP,Democratic Labour Party of Lithuania,1992,2000,44,1992,546,LTU,cses,4400005,LDDP,Democratic Labor Party,1997,1997,,
BEL,vparty,553,VB,Flemish Block / Interest,1991,2010,12,2007,553,BEL,cses,560012,VB,Flemish Block,1999,2003,6.1,2003
ISR,vparty,557,Shinui,Change,1999,2003,12.3,2003,557,ISR,cses,3760015,Shinui,Change,2003,2006,15.1,2003
SVK,vparty,560,HZDS,Movement for a Democratic Slovakia,1994,2006,35,1994,560,SVK,cses,7030010,LS - HZDS,People's Party - Movement For a Democratic Slovakia,2010,2010,1.8,2010
IRL,vparty,562,Lab,Labour Party,1921,2016,21.3,1922,562,IRL,cses,3720003,Lab,Labor,2002,2011,,
DEU,vparty,573,FDP,Free Democratic Party,1949,2017,14.6,2009,573,DEU,cses,2760006,FDP,Free Democratic Party,1998,2013,14.3,2009
PER,vparty,575,UPP,Union for Peru,1995,2011,21.1,2006,575,PER,cses,6040019,UPP,Union for Peru,2001,2006,23.9,2006
PER,vparty,575,UPP,Union for Peru,1995,2011,21.1,2006,575,PER,cses,6040050,UPP,Peru Wins,2011,2011,26.1,2011
NZL,vparty,591,NZFP,New Zealand First Party,1993,2017,13.3,1996,591,NZL,cses,5540003,NZF,New Zealand First,1996,2014,15.8,1996
AUT,vparty,599,BZO,Alliance for the Future of Austria,2008,2008,10.7,2008,599,AUT,cses,400004,BZO,Alliance for the Future of Austria,2008,2013,6.7,2008
GBR,vparty,601,UKIP,United Kingdom Independence Party,2001,2017,12.7,2015,601,GBR,cses,8260007,UKIP,United Kingdom Independence Party,2015,2015,,
POL,vparty,602,PSL,Polish People's (Peasants') Party,1991,2019,15.4,1993,602,POL,cses,6160003,,Polish Peasants' (or People's) Party,1997,2011,8.8,2001
AUT,vparty,605,LIF,Liberal Forum,1994,1995,6,1994,605,AUT,cses,400007,LiF,Liberal Forum,2008,2008,1,2008
ARG,vparty,623,PJ,Justicialist [Peronist] Party,1946,2003,64.3,1954,623,ARG,cses,320009,"PJ, Peronismo",Justicialist Party,2015,2015,,
BEL,vparty,633,PSC,Francophone Christian Social Party,1968,2014,11.7,1968,633,BEL,cses,560010,CDH,Humanist Democratic Centre,2003,2003,7.1,2003
SWE,vparty,651,KD,Christian Democrats,1991,2018,11.8,1998,651,SWE,cses,7520004,KD,Christian Democrats,1998,2014,11.7,1998
BRA,vparty,654,PMDB,Partido do Movimento Democrático Brasileiro,1982,2018,47.8,1986,654,BRA,cses,760003,PMDB,Party of the Brazilian Democratic Movement,2002,2014,11.6,2010
PRT,vparty,655,PS,Socialist Party,1975,2019,46.4,2005,655,PRT,cses,6200002,PS,Socialist Party,2002,2015,49.5,2005
SVK,vparty,656,LsNS,People's Party Our Slovakia,2016,2016,8,2016,656,SVK,cses,7030012,LsNS,Kotleba - People's Party Our Slovakia,2010,2016,5,2016
ROU,vparty,660,PD-L,Democratic Liberal Party,2008,2012,32.4,2008,660,ROU,cses,6420020,P-DL,Democratic Liberal Party,2009,2012,,
CHE,vparty,669,KP/PdA,Swiss [Communist] Party of Labour,1947,1947,5.1,1947,669,CHE,cses,7560007,PdA / PST,Swiss Party of Labor,1999,2011,1,1999
CZE,vparty,676,KDU/CSL,Christian Democratic Union / People's Party,1990,2017,11,2002,676,CZE,cses,2030003,KDU-CSL,Christian Democratic Union - Czech People's Party,1996,2013,7.7,1996
EST,vparty,685,IRL,Union of Pro Patria and Res Publica,2007,2015,20.5,2011,685,EST,cses,2330004,IRL,Pro Patria and Res Publica Union,2011,2011,22,2011
SWE,vparty,690,H/M,Right Party / Moderate Party,1911,2018,36.5,1914,690,SWE,cses,7520002,M,Moderate Party,1998,2014,27.1,2006
MEX,vparty,696,PAN,National Action Party,1949,2018,38.2,2000,696,MEX,cses,4840002,PAN,National Action Party,1997,2015,,
LVA,vparty,701,ZZS,Green and Farmers' Union,2002,2018,20.1,2010,701,LVA,cses,4280005,ZZS,Union of Greens and Farmers,2010,2014,21.6,2010
FIN,vparty,703,KD,Christian Democrats / League,2003,2003,5.3,2003,703,FIN,cses,2460007,KD,Christian Democrats,2003,2015,7.6,2003
NOR,vparty,705,KrF,Christian Democratic Party,1945,2017,13.7,1997,705,NOR,cses,5780007,KrF,Christian People's Party,1997,2013,15.4,1997
PER,vparty,713,RN,National Restoration Party,2011,2011,,2011,713,PER,cses,6040014,RN,National Restoration,2006,2006,3.9,2006
NZL,vparty,716,A,Alliance,1993,1999,18.2,1993,716,NZL,cses,5540009,ALL,Alliance,1996,2011,10.5,1996
NOR,vparty,719,SV,Socialist Left Party,1973,2017,12.5,2001,719,NOR,cses,5780004,SV,Socialist Left Party,1997,2013,14.8,2001
BRA,vparty,723,PSB,Brazilian Socialist Party,2002,2018,7.1,2010,723,BRA,cses,760005,PSB,Brazilian Socialist Party,2002,2014,6,2010
POL,vparty,727,SRP,Self-Defense of the Republic Poland,2001,2005,11.4,2005,727,POL,cses,6160024,SRP,Self-Defense of the Republic Poland,2001,2007,11.4,2001
SVK,vparty,730,SNS,Slovak National Party,1994,2016,11.7,2006,730,SVK,cses,7030006,SNS,Slovak National Party,2010,2016,10.9,2016
POL,vparty,731,RP,Palikot's Movement,2011,2011,10,2011,731,POL,cses,6160017,,Palikots Movement,2011,2011,9.8,2011
ALB,vparty,732,PLL,Movement of Legality Party,2001,2001,,2001,732,ALB,cses,80032,LZhK,Movement of Leka Zogu I,2005,2005,2.5,2005
JPN,vparty,736,JCP,Japan Communist Party,1949,2017,13.1,1996,736,JPN,cses,3920004,JCP,Japanese Communist Party,1996,1996,9.1,1996
NZL,vparty,752,ACT,ACT New Zealand,1996,2002,7.1,2002,752,NZL,cses,5540004,ACT,Act New Zealand,1996,2014,7.1,1996
BGR,vparty,757,BSP,Bulgarian Socialist Party,1990,2017,47.2,1990,757,BGR,cses,1000002,BSP,Bulgarian Socialist Party,2001,2001,,
BGR,vparty,760,GERB,Citizens for European Development of Bulgaria,2009,2017,39.7,2009,760,BGR,cses,1000001,GERB,Citizens for European Development of Bulgaria,2014,2014,34.9,2014
SVN,vparty,764,SLS,Slovenian People's Party,1990,2011,19.4,1996,764,SVN,cses,7050019,SLS - SMS,Slovenian People's Party - Youth Party of Slovenia,2008,2008,3.2,2008
SVN,vparty,764,SLS,Slovenian People's Party,1990,2011,19.4,1996,764,SVN,cses,7050006,SLS,Slovenian People's Party,1996,2011,21.7,1996
ITA,vparty,768,IdV,List Di Pietro -- Italy of Values,2006,2008,4.4,2008,768,ITA,cses,3800015,IdV,Italy of Values,2006,2006,2,2006
BRA,vparty,781,PPB,Progressive Party / Brazilian Progressive Party (PPB),1994,2018,11.3,1998,781,BRA,cses,760048,PPB,Brazilian Progressive Party,2002,2002,,
BRA,vparty,781,PPB,Progressive Party / Brazilian Progressive Party (PPB),1994,2018,11.3,1998,781,BRA,cses,760004,PP,Progressive Party,2002,2014,5.9,2014
PER,vparty,788,FDC,Center Front,2006,2006,7.1,2006,788,PER,cses,6040025,FDC,Center Front,2006,2006,8.6,2006
BEL,vparty,789,MR,Reformist Movement,2003,2019,12.5,2007,789,BEL,cses,560026,MR,Reformist Movement,2003,2003,11.1,2003
GRC,vparty,794,ND,New Democracy,1974,2019,54.4,1974,794,GRC,cses,3000002,ND,New Democracy,2009,2015,31.7,2009
HRV,vparty,799,HNS,Croatian People's Party – Liberal Democrats,1992,2016,8.6,2011,799,HRV,cses,1910003,HNS,Croatian People's Party - Liberal Democrats,2007,2007,6.8,2007
DNK,vparty,800,CD,Centre Democrats,1973,1990,8.3,1981,800,DNK,cses,2080011,CD,Centre Democrats,1998,2001,4.4,1998
USA,vparty,809,Rep,Republican Party,1900,2018,58.2,1920,809,USA,cses,8400001,GOP,Republican Party,1996,2012,,
ITA,vparty,813,AN,National Alliance,1994,2006,15.7,1996,813,ITA,cses,3800022,AN,National Alliance,2006,2006,14.9,2006
ALB,vparty,819,PRS,Republican Party of Albania,1996,2013,20,2005,819,ALB,cses,80004,PR,Republican Party,2005,2005,14.9,2005
EST,vparty,821,ERe,Estonian Reform Party,1995,2019,28.9,2019,821,EST,cses,2330001,ER e,Estonian Reform Party,2011,2011,23.1,2011
NLD,vparty,828,VVD,People's Party for Freedom and Democracy,1946,2017,26.6,2012,828,NLD,cses,5280003,VVD,People's Party for Freedom and Democracy,1998,2010,22,1998
SWE,vparty,830,V,Left Party / Communist Party,1920,2018,12,1998,830,SWE,cses,7520007,V,Left Party,1998,2014,11.5,1998
ALB,vparty,838,PSD,Social Democratic Party of Albania,1997,2005,12.7,2005,838,ALB,cses,80005,PSD,Social Democratic Party,2005,2005,6.9,2005
ALB,vparty,840,PA,Agrarian Party,2005,2005,6.6,2005,840,ALB,cses,80031,PAA,Agrarian Party,2005,2005,3.5,2005
ESP,vparty,848,ERC,Republican Left of Catalonia,1931,2019,7.9,1936,848,ESP,cses,7240009,ERC,Republican Left of Catalonia,1996,2008,3.1,2008
ITA,vparty,851,FdV,Federation of the Greens,1996,2006,2.5,1996,851,ITA,cses,3800005,FdV,Federation of the Greens,2006,2006,2.8,2006
LVA,vparty,852,V,Unity,2010,2018,31.9,2010,852,LVA,cses,4280002,V,Unity,2010,2014,34.2,2010
POL,vparty,863,AWS,Solidarity Electoral Action of the Right,1997,2001,33.8,1997,863,POL,cses,6160004,AWSP,Solidarity Electoral Action,1997,2001,38.2,1997
ITA,vparty,878,DS,Democrats of the Left,2001,2001,16.6,2001,878,ITA,cses,3800011,DS,Democrats of the Left,2006,2006,,
FIN,vparty,901,KESK,Agrarian Union / Centre Party,1907,2019,27.3,1930,901,FIN,cses,2460001,KESK,Center Party,2003,2015,23.6,2015
HUN,vparty,910,SzDSz,Alliance of Free Democrats,1990,2006,21.4,1990,910,HUN,cses,3480008,SZDSZ,Alliance of Free Democrats,1998,2002,7.7,1998
POL,vparty,919,SD,Democratic Party,1952,1989,8.5,1957,919,POL,cses,6160051,PD,Democratic Party,2005,2005,1.4,2005
IRL,vparty,924,PD,Progressive Democrats,1987,1989,11.8,1987,924,IRL,cses,3720006,PD,Progressive Democrats,2002,2007,,
CHL,vparty,928,RN,National Renewal,1989,2017,18.3,1989,928,CHL,cses,1520003,RN,National Renewal,2005,2009,28,2009
CAN,vparty,931,GPC,Green Party of Canada,2008,2019,6.8,2008,931,CAN,cses,1240005,GP,Green Party,2004,2015,,
NZL,vparty,940,UFNZ,United Future New Zealand,2002,2002,6.7,2002,940,NZL,cses,5540006,UFNZ,United Future New Zealand,2002,2014,7.3,2002
ISR,vparty,953,HH,National Union,2003,2006,7.1,2006,953,ISR,cses,3760049,HaLe,National Union,2003,2003,6.2,2003
ISR,vparty,7913,Tkuma,National Union–Tkuma,2019,2019,,2019,953,ISR,cses,3760049,HaLe,National Union,2003,2003,6.2,2003
ISL,vparty,964,F,Progressive Party,1919,2017,35.9,1931,964,ISL,cses,3520003,F,Progressive Party,1999,2013,23.6,2013
GRC,vparty,965,LAOS,Popular Orthodox Rally,2009,2009,5.6,2009,965,GRC,cses,3000019,La.O.S,Popular Orthodox Rally,2009,2009,3.3,2009
SVN,vparty,975,LDS,Liberal Democracy of Slovenia,1990,2008,36.3,2000,975,SVN,cses,7050004,LDS,Liberal Democracy of Slovenia,1996,2011,32,1996
BGR,vparty,982,DPS,Movement for Rights and Freedoms,1990,2017,14.8,2014,982,BGR,cses,1000003,DPS,Movement for Rights and Freedoms,2001,2014,10.4,2014
GBR,vparty,986,SNP,Scottish National Party,2019,2019,3.9,2019,986,GBR,cses,8260004,SNP,Scottish National Party,1997,2015,,
AUS,vparty,990,AD,Australian Democrats,1977,2001,11.3,1990,990,AUS,cses,360004,AD,Australian Democrats,1996,2004,,
CAN,vparty,1004,CPC,Conservative Party of Canada (2003),2004,2019,39.6,2011,1004,CAN,cses,1240002,CP,Conservative Party,2004,2015,,
CHE,vparty,1006,Grue,Green Party,1991,2019,13.2,2019,1006,CHE,cses,7560005,GPS / PES,Green Party,1999,2011,10,2007
CZE,vparty,1008,ODA,Civic Democratic Alliance,1992,1996,6.4,1996,1008,CZE,cses,2030011,ODA,Civic Democratic Alliance,1996,2002,9.7,1996
